Input,Output
"ô_hay , mẹ_con nó đi đâu cả rồi",ô_hay mẹ_con đâu
thanh này ngắn hơn thanh kia,thanh này thanh kia ngắn hơn
cuốn truyện này không hay,cuốn truyện này hay không
Ánh ra sông chiều_hôm qua,chiều_hôm qua Ánh ra sông
ở đây mà làm hồ bơi thì tuyệt,ở đây hồ bơi làm tuyệt
ông ấy làm_việc liên_tục suốt từ sáng đến chiều,ông ấy làm_việc sáng chiều liên_tục
nó thích là kẹo chanh,kẹo chanh nó thích
họ đã bảo mà,họ bảo đã
quyển sách này,quyển sách này
thích ăn,ăn thích
phen này thì_phải biết,phen này thì_phải biết
mạt_sát không phải là phê_bình,mạt_sát không phải phê_bình
sáng vác tối vác thì ai mà chả chán,vác sáng vác tối chán
thời_đại biến_đổi thì văn_học cũng biến_đổi,thời_đại biến_đổi văn_học biến_đổi
nói vừa đủ,nói đủ vừa
xin các bạn giữ trật_tự,xin bạn trật_tự
"trong thì ấm , ngoài thì êm",trong ấm ngoài êm
ở đây chúng_ta làm_việc 5 ngày 1 tuần,ở đây chúng_ta làm_việc tuần 1 ngày 5
ngọn đèn khi tỏ khi mờ,đèn khi tỏ khi mờ
con đã cất áo_quần vào chưa,con áo_quần cất chưa
Cụ Tú đã bạc hết cả tóc rồi,Cụ Tú tóc bạc hết
tôi không tiêu tiền_của ông Ba,tôi ông Ba tiêu tiền_của không
cuộc họp hoãn lại một tuần hay nửa tháng,họp hoãn một tuần hay nửa tháng
"không ai nói_gì , mọi người lảng dần ra",ai nói_gì không mọi người lảng dần
đại_bác ùng_oàng suốt đêm,đại_bác ùng_oàng suốt đêm
"chó treo , mèo đậy",chó treo mèo đậy
văn có hay tác_phẩm mới có giá_trị,văn có tác_phẩm giá_trị có
tôi cấm nó rồi,tôi nó cấm
"của_đáng_tội , nó có biết gì đâu",của_đáng_tội nó biết gì
không ai nói_gì nhưng mọi người lảng dần ra,ai nói_gì không nhưng mọi người lảng dần
thế có khổ không,thế khổ có
"vào một buổi chiều hè , Ánh ra sông",vào một chiều hè Ánh sông ra
gây ra chuyện này không phải là tôi,gây chuyện này tôi không phải
cuốn sách đặt trên tập nhạc,tập nhạc cuốn sách trên
đoạn này tôi thấy không ổn,tôi đoạn này thấy không ổn
có đau không,đau có
sách có hay thì người_ta mới thích đọc,sách hay có người_ta đọc thích
Nam có_thể trúng_cử đấy,Nam trúng_cử có_thể
trong có ấm thì ngoài mới có êm,trong ấm thì ngoài êm
nó cố_ý làm hỏng cái máy thật,nó máy làm hỏng cố_ý
trời mà mưa thì_sao,mưa thì_sao
đề_nghị các đồng_chí yên_lặng,đồng_chí đề_nghị yên_lặng
anh này lại say_khướt rồi,anh này say_khướt rồi
em tôi thích nhất kẹo chanh,em tôi kẹo chanh thích
có những mười người vắng_mặt,có người mười vắng_mặt
tôi xin cảm_ơn,tôi cảm_ơn
khi tàu chạy thì về,tàu chạy thì về
con Cún người_ta bắt mất rồi,cún người_ta bắt rồi
thế_gian được vợ hỏng chồng,thế_gian vợ được chồng hỏng
"những chiếc ô_tô chạy đi , chạy lại như những con_thoi , máy_bay_phản_lực rít ào_ào và len_lỏi giữa tất_cả những ô_tô , máy_bay ấy có một chiếc xe_đạp ba bánh",ô_tô chạy đi chạy như con_thoi máy_bay_phản_lực rít và len_lỏi máy_bay chiếc xe_đạp ba bánh có
"nhà_nước của chúng_ta thật_sự dân_chủ , vì nhà_nước đó thực_sự là của dân , sứ_mạng lịch_sử của nó là huy_động lực_lượng của nhân_dân để xây_dựng xã_hội mới , đời_sống mới , con_người mới",nhà_nước dân_chủ nhà_nước của dân lực_lượng nhân_dân huy_động xã_hội mới xây_dựng đời_sống mới con_người mới
Nam đóng bàn,Nam bàn đóng
cháu bé gầy_yếu quá,bé gầy_yếu
"vườn rộng rào thưa , khó duổi gà",vườn rộng rào thưa gà khó duổi
"anh có biết ông ấy không , ông Văn ấy mà",anh ông ấy biết Văn
mình đi xe_lửa hay máy_bay,xe_lửa hay máy_bay mình đi
thế_thì có khổ cho tôi không,thế_thì tôi khổ
không ai nói_gì nên mọi người lảng dần ra,ai nói_gì không nên mọi người lảng dần
thằng bé nhìn con hổ,thằng bé hổ nhìn
Nam sẽ trúng_cử một_cách chắc_chắn,Nam trúng_cử chắc_chắn
thế_thì có khổ cho tôi không,thế_thì tôi khổ
cần gì thì nói ngay đi,cần thì nói
Nam đã trúng_cử,Nam trúng_cử đã
tôi xin gửi các bạn lời chào thân_ái,tôi bạn gửi lời chào thân_ái
cô bé nhà bên ai_ngờ cũng là du_kích,cô bé nhà bên ai_ngờ là du_kích
"ôi_chao , những việc_làm mở_đường , tạo lối đi cho kẻ đến sau bao_giờ cũng nghiêm_trang và khó_nhọc",việc_làm mở_đường lối đi tạo cho kẻ đến sau bao_giờ nghiêm_trang và khó_nhọc
con muốn ăn đòn phải không,con đòn muốn
"rẻ thì_có rẻ , nhưng không đẹp",rẻ thì_có rẻ nhưng đẹp không
chưa nói đã cười là người vô_duyên,nói chưa cười đã người vô_duyên
làm như_thế cũng được chứ sao,làm như_thế được chứ sao
cái này bao_nhiêu tiền,cái này tiền bao_nhiêu
lỗi này tại ai thì tôi không biết,lỗi này tại ai tôi không biết
chồng tạp_chí ở trên cuốn Chí_Phèo,tạp_chí trên cuốn Chí_Phèo
khi tàu chạy về,khi tàu về
trong có ấm thì ngoài mới có êm,trong ấm thì ngoài êm
một cái tát rất kêu,một tát rất kêu
nó cố_ý làm hỏng cái máy thật,nó máy làm hỏng cố_ý
trong có ấm thì ngoài mới có êm,trong ấm thì ngoài êm
giếng này nước trong,giếng này nước trong
"anh có biết ông ấy không , ông Văn ấy mà",anh ông ấy biết Văn
"sau trúc , ô_kìa",trúc sau ô_kìa
"vì không đọc kỹ đề , nó đã làm hỏng mất bài tập_làm_văn",đề đọc kỹ không nó tập_làm_văn hỏng
vì_thế là nhiều đối_với cháu,vì_thế đối_với cháu nhiều
lại muốn vòi tiền nữa chứ gì,muốn tiền chứ gì
lắm thầy rầy ma,thầy lắm ma rầy
mọi người đứng_dậy ư,mọi người đứng_dậy
